name,country_name,region_name,star_label,year,address,phone,hours,cuisine,price_text,price_level,lat,lng,description,facilities,image_url,detail_url
소수헌,한국,서울,2스타,2026,"중구 만리재로 21길 8, Seoul, 04500, KOR",+82 10-9694-3368,,스시,,,37.55294,126.9634,"현대적인 서울의 스카이라인을 배경으로, 고즈넉한 한옥 한 채가 자리하고 있다. 이곳은 박경재 셰프의 ‘소수헌’으로, 도심 속에서 조용하고 우아한 분위기를 만끽하고 싶은 이들에게 이상적인 공간이다. 단 8석의 카운터에서는 묵묵히 집중하며 니기리를 쥐는 장인의 섬세한 손길을 가까이서 지켜볼 수 있다. 본격적인 니기리 전에  대게, 벚꽃도미 찜, 갈치 구이 등 다채로운 전채 요리가 이어지며 미각을 깨운다. 넉넉하게 쥐어낸 니기리는 전어와 부드러운 한치가 특히 인상적이다. 마지막을 장식하는 진한 말차 한 잔까지, 깊이 있는 여운을 남기는 저녁이다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c287df347b474c60a0730f907a89ff2b.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sosuheon
라연,한국,서울,2스타,2026,"중구 동호로 249, 신라호텔 23층, Seoul, 04605, KOR",+82 2-2230-3367,,한식,,,37.555813,127.00517,"신라호텔 23층에 자리한 라연에서는 탁 트인 전망이 보장되지만, 눈길을 끄는 건 그보다 더 인상적인 음식의 완성도다. 한국 전통의 깊이를 지키면서도 섬세하고 가벼운 감각으로 현대적으로 풀어낸 요리들은, 익숙한 맛과 질감을 해치지 않으면서도 세련된 변화를 더한다. 바삭하게 구운 붉은 숭어 부터 부드럽게 숯불에 구운 한우 불고기까지, 과한 기교 없이 깔끔한 풍미에 집중하는 주방의 철학이 느껴진다. 아늑한 다이닝룸과 정중하고 따뜻한 서비스는 이 경험을 더욱 완벽하게 만든다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f9a0825d0a6b4974bb1e8ca3ac276562.jpg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/la-yeon
송헌집,한국,서울,2스타,2026,"수영구 민락로 19번길 18, Busan, 48285, KOR",+82 51-711-4648,,한식,,,35.15654,129.12146,전통주와 함께 즐기는 한식 요리부터 국수 요리까지 한식의 다양한 스펙트럼을 부산에서 선보여 온 송헌집. 셰프가 새로 문을 연 떡갈비 한상차림 식당이다. 그윽한 숯향과 풍부한 육즙의 두툼한 떡갈비는 따뜻한 밥 한 숟가락과 멋지게 어울린다. 떡갈비 백반답게 상을 가득 채운 맛깔스런 반찬과 바특한 된장찌개 역시 떡갈비 못지않은 맛을 자랑한다. 작은 마당이 딸린 이층 주택을 개조한 식당은 1990년대 가정집의 아늑한 분위기를 자아낸다.,,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/3e953e7c4949462196becd3a2ed0825c.jpeg?width=1000,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/songheonjip
묵정,한국,서울,2스타,2026,"중구 퇴계로48길 17, Seoul, 04619, KOR",+82 10-8350-6743,,한식,,,37.56181,127.00053,"한국계 미국인 셰프 오스틴 강이 운영하는 곳이다. 음식이 곧 약이라는 한식의 철학에 매료되어 ‘한국식 발효 음식’을 표방하며 발효 식품과 장을 직접 만들어 사용한다. 전통 한식을 제공하지만 비주얼은 캐주얼하고 현대적이다. 표고버섯 새우전은 밀가루 없이 버섯 위에 다진 새우살을 올린 후 직접 만든 멸치젓을 넣은 아이올리 소스와 함께 제공된다. 천천히 익히는 메인 음식인 닭고기는 식감이 부드럽고 로즈마리와 레몬, 오렌지를 넣어 깊은 향이 밴 찹쌀밥은 직접 만든 반찬과 잘 어우러진다. 메인 요리와 함께 나오는 각종 수제 장아찌와 김치는 풍부한 발효의 맛과 깊고 다채로운 풍미가 동시에 느껴진다. 메인 요리는 준비 시간 때문에 하루 전에 미리 선택해야 한다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d746f529d4bf47aab6c054bb20c9d87e.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mukjung
소넷,한국,서울,2스타,2026,"강남구 선릉로 157길 33, 3층, Seoul, 06018, KOR",+82 2-6953-5999,,프렌치 컨템퍼러리,,,37.52628,127.03704,"프렌치 음식을 기반으로 한 캐주얼 다이닝을 선보이는 소넷. 커다란 바 테이블이 주방을 감싸고 있는 구조로 셰프들이 조리하는 모습을 직접 보면서 음식을 즐길 수 있다. 다양한 한입 거리 음식부터 분자 요리법을 적용한 디저트까지 갖가지 비주얼과 맛을 경험해 볼 수 있다. 닭 간 무스를 넣은 코코아 롤에 트러플과 라즈베리 잼을 함께 서빙하는 디시는 두 가지 맛과 풍미를 느낄 수 있고, 직접 만든 메밀 파스타와 신선한 조개, 캐비어를 넣은 파스타에서 깊고 진한 맛과 짙은 메밀 향을 느낄 수 있다. ‘소넷’은 프랑스어로 짧은 노래를 뜻하는데 작은 요리로 구성된 코스를 선보이는 이곳에 딱 맞는 이름이다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/7801dcd17d7d4b84abfef258fa906cde.jpg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sonnet-1241886
옥돌현옥,한국,서울,2스타,2026,"송파구 오금로 36길 26-1, Seoul, 05700, KOR",+82 2-404-4824,,냉면,,,37.50153,127.12408,오로지 메밀만을 사용해 씹을수록 메밀의 구수함이 느껴지는 순면에 고소하고 진한 육수와 풍부한 메밀향을 느낄 수 있는 옥돌현옥. 생긴 지는 그리 오래 되지 않았지만 평양냉면 마니아들 사이에서는 호평을 받는 곳이다. 두부가 많이 들어가 구수한 만두를 비롯해 어복쟁반과 가자미식해도 인기 메뉴이다. 콜키지를 지불하면 와인과 함께 즐길 수도 있다. 슴슴하지만 깊은 맛을 즐겨보시길.,,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d7066057313b4ebc82650dd10cd73dc6.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/okdol-heyonok
이타닉 가든,한국,서울,1스타,2026,"강남구 테헤란로 231, 조선팰리스 호텔 36층, Seoul, 06142, KOR",+82 2-727-7610,,코리안 컨템퍼러리,,,37.50304,127.04158,"이름처럼, 도심 속 정원을 떠올리게 하는 우아한 분위기의 공간. 조선 팰리스 호텔 36층에 위치한 이 레스토랑에서 가장 인기 있는 자리는 도시 전경이 한눈에 펼쳐지는 창가의 2인석이다. 정해진 메뉴는 없으며, 제철 재료를 중심으로 구성된 요리들은 각각 일러스트 카드로 소개된다. 조개부터 토종 쌀에 이르기까지, 아름답게 담긴 접시마다 핵심 재료가 그려져 있고, 친절한 서비스 팀이 그 의미와 구성을 세심히 설명해 준다. 전통 한식에 창의적인 터치를 더한 요리는, 현대적 기술을 완벽하게 소화해낸 주방의 역량을 고스란히 보여준다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/ae00ae5217b149a6afed34d8472c327e.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/eatanic-garden
꼴라쥬,한국,서울,1스타,2026,"강남구 논현로 136길 11, 아난티 앳 강남 2층, Seoul, 06051, KOR",+82 2-2190-4112,,프렌치 컨템퍼러리,,,37.51619,127.03099,"다양한 재료를 조합하여 표현하는 시각 예술의 기법 Collage처럼, 노진성 셰프는 식재료에 대한 넓은 이해를 바탕으로 여러 풍미의 조합과 맛의 균형점을 요리안에 담아낸다. 그의 정교한 조리 능력은 식재료 본연의 풍미와 밀도 있는 소스의 맛의 조화로 풍부하게 표현된다. 한국의 계절 식재료와 일부 발효 기법 활용은 전통적인 프렌치 퀴진에 트렌디하고 다채로운 맛을 더한다. 넓고 우아한 카운터 테이블이 매력적인 다이닝 공간에서 셰프의 뚜렷한 스타일이 담긴 세련된 프렌치 퀴진을 즐겨보자.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/0a4cb8f7a3ce41b387875438b8a54652.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/collage
하쿠시,한국,서울,1스타,2026,"강남구 언주로 157길 8-4, 2, Seoul, 06024, KOR",+82 10-7316-6212,,일식,,,37.52414,127.03227,"이름처럼 새하얀 도화지 같은 건물에 흰색 정물화 같은 공간에서 모던한 분위기를 느낄 수 있는 하쿠시.  카운터 테이블에 둘러싸인 주방공간을 과감하게 오픈해 요리가 완성되는 과정을 처음부터 끝까지 볼 수 있다는 것이 인상적이다. 공간의 모던 함처럼, 음식에도 셰프의 독창성과 모던함이 잘 반영되어 있다. 특히 크리스피 우나기는 전통적 방식인 산쇼와 함께 나오는 첫번 째 디시, 베이징 덕 처럼 전병과 바질에 말아 바질 식초에 찍어 먹는 두번 째 디시가 서빙 되는데, 그 어우러짐이 색다르면서도 굉장한 하모니를 낸다. 9시 이후에는 단품 메뉴를 즐길 수 있고, 예전의 대표메뉴를 모아놓은 코스메뉴도 선택 가능하다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d93b5de257704c199443ae7931f46162.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hakusi
무오키,한국,서울,1스타,2026,"강남구 학동로 55길 12-12, 2층, Seoul, 06065, KOR",+82 10-2948-4171,,컨템퍼러리,,,37.51896,127.04222,"박무현 셰프의 세련된 레스토랑은 오픈 키친의 역동적인 풍경이 마치 작은 극장처럼 다이닝 경험에 생동감을 더한다. 경험 많고 매너 좋은 서비스 팀이 식사의 여정을 섬세하게 안내하며, 코스 메뉴는 조화로운 맛의 구성뿐 아니라 예상 밖의 창의적인 조합으로 미각에 도전장을 내민다. 비트와 염소 치즈, 헤이즐넛을 곁들인 요리는 시각적으로도 아름답지만, 그 맛 또한 탁월하다. 마무리를 장식하는 디저트 역시 늘 기억에 남는 하이라이트로 빛난다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/041ec56468874724aeb422fbe08b220f.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/muoki
무니,한국,서울,1스타,2026,"강남구 도산대로 72길 16, Seoul, 06063, KOR",+82 2-511-1303,,일식,,,37.52291,127.04545,"화려한 청담동 골목 사이에 조용히 자리한 일본 요리 전문점 ‘무니’는 절제된 입구와 긴 카운터를 중심으로 한 미니멀한 공간이 인상적이며, 오픈 키친 뒤 벽면에는 셰프가 오랜 시간 수집해온 도자기가 정갈하게 전시되어 있다. 김동욱 셰프는 정통 가이세키라 부르기에는 완전히 들어맞지 않더라도 제철 식재료의 활용과 담음새에서 전통적 미감을 자연스럽게 녹여낸다. 오마카세는 계절성과 단순함을 핵심에 두며, 일본과 한국의 최상급 식재료를 조화롭게 사용해 각 계절의 본질을 또렷하게 표현한다. 일본 니혼슈 소믈리에(키키사케시) 자격을 갖춘 셰프에게 요리에 어울리는 사케를 추천받는다면 더욱 풍성한 다이닝 경험을 즐길 수 있다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/227831cd046c4403a3f7fe3539226144.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/muni
익스퀴진,한국,서울,1스타,2026,"강남구 삼성로 140길 6, Seoul, 06073, KOR",+82 2-542-6921,,컨템퍼러리,,,37.5211374,127.04969,"조용한 주택가에 자리한 익스퀴진은 장경원 셰프가 한국적 재료의 개성과 잠재력을 탐구하며 새로운 맛을 실험하는 공간이다. 레스토랑에서 직접 재배한 허브와 산지에서 직송되는 신선한 재료를 사용해 합리적인 가격의 코스를 선보이며, 점심과 저녁에는 각각 하나의 코스 메뉴만 운영되지만 식재료와 주방 상황에 따라 구성이 수시로 바뀐다. 블랙과 그레이 톤의 작은 공간은 은은한 조명과 미니멀한 장식으로 아늑한 분위기를 연출해 편안한 데이트나 조용한 식사에 잘 어울린다. 규모가 아담한 만큼 예약은 필수다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/8e457c5cc08d4e37ac147388cff8e202.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/exquisine
스시 카네사카,한국,서울,1스타,2026,"강남구 테헤란로 521, 그랜드 인터컨티넨탈 서울 파르나스 1층, Seoul, 06164, KOR",+82 2-559-7627,,스시,,,37.50904,127.06089,"인터컨티넨탈 호텔 1층 히노츠키 내부에 자리한 독립 운영 스시 전문점으로, 일본인 셰프와 한국인 팀이 이끄는 8석 규모의 편백 카운터에서 정교한 스시를 선보인다. 샤리는 일본식 식감을 살린 국내산 쌀에 소금과 두 종류의 붉은 식초만으로 간을 더해 산뜻한 감칠맛을 내며, 해산물은 주로 한국산 제철 어획물로 품질이 우수하다. 특히 통통하고 풍미 좋은 아지 스시는 운이 좋다면 맛볼 수 있는 시그니처 아이템. 런치와 디너 모두 스시 구성은 동일하지만, 조리법과 코스 길이가 더욱 풍부한 디너 방문을 추천한다. 일본식 분위기를 담은 공간과 셰프의 친근한 응대가 더해져, 서울에서 일본 정통 스시의 매력을 경험할 수 있는 곳이다.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/83a2f69c23064ab3a30277198023e13e.jpeg?width=1000,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sushi-kanesaka-1244365
